Date,Adj Close
01-01-1985,0.1117
01-02-1985,0.1191
01-03-1985,0.1165
01-04-1985,0.1141
01-05-1985,0.1028
01-06-1985,0.1025
01-07-1985,0.1057
01-08-1985,0.1028
01-09-1985,0.1031
01-10-1985,0.1001
01-11-1985,0.0959
01-12-1985,0.09
01-01-1986,0.0908
01-02-1986,0.0813
01-03-1986,0.0739
01-04-1986,0.0738
01-05-1986,0.0805
01-06-1986,0.0735
01-07-1986,0.0734
01-08-1986,0.0695
01-09-1986,0.0745
01-10-1986,0.0734
01-11-1986,0.0715
01-12-1986,0.0723
01-01-1987,0.0718
01-02-1987,0.0719
01-03-1987,0.0751
01-04-1987,0.0821
01-05-1987,0.0849
01-06-1987,0.0838
01-07-1987,0.0866
01-08-1987,0.09
01-09-1987,0.0963
01-10-1987,0.0888
01-11-1987,0.0899
01-12-1987,0.0883
01-01-1988,0.0826
01-02-1988,0.0816
01-03-1988,0.0857
01-04-1988,0.0887
01-05-1988,0.092
01-06-1988,0.0882
01-07-1988,0.0912
01-08-1988,0.0925
01-09-1988,0.0887
01-10-1988,0.0865
01-11-1988,0.0906
01-12-1988,0.0914
01-01-1989,0.0901
01-02-1989,0.0932
01-03-1989,0.093
01-04-1989,0.0902
01-05-1989,0.086
01-06-1989,0.081
01-07-1989,0.0782
01-08-1989,0.0826
01-09-1989,0.0831
01-10-1989,0.0792
01-11-1989,0.0784
01-12-1989,0.0793
01-01-1990,0.0843
01-02-1990,0.0851
01-03-1990,0.0865
01-04-1990,0.0904
01-05-1990,0.086
01-06-1990,0.0843
01-07-1990,0.0836
01-08-1990,0.0886
01-09-1990,0.0882
01-10-1990,0.0865
01-11-1990,0.0826
01-12-1990,0.0808
01-01-1991,0.0803
01-02-1991,0.0802
01-03-1991,0.0805
01-04-1991,0.0802
01-05-1991,0.0806
01-06-1991,0.0824
01-07-1991,0.082
01-08-1991,0.0782
01-09-1991,0.0747
01-10-1991,0.0747
01-11-1991,0.0738
01-12-1991,0.0671
01-01-1992,0.0731
01-02-1992,0.0727
01-03-1992,0.0754
01-04-1992,0.0761
01-05-1992,0.0733
01-06-1992,0.0714
01-07-1992,0.0672
01-08-1992,0.0662
01-09-1992,0.0637
01-10-1992,0.068
01-11-1992,0.0695
01-12-1992,0.067
01-01-1993,0.0639
01-02-1993,0.0603
01-03-1993,0.0603
01-04-1993,0.0605
01-05-1993,0.0616
01-06-1993,0.058
01-07-1993,0.0583
01-08-1993,0.0545
01-09-1993,0.054
01-10-1993,0.05388
01-11-1993,0.05795
01-12-1993,0.05783
01-01-1994,0.05638
01-02-1994,0.0615
01-03-1994,0.06774
01-04-1994,0.07035
01-05-1994,0.07152
01-06-1994,0.07329
01-07-1994,0.07095
01-08-1994,0.07165
01-09-1994,0.07599
01-10-1994,0.07793
01-11-1994,0.07888
01-12-1994,0.07827
01-01-1995,0.07593
01-02-1995,0.0721
01-03-1995,0.07189
01-04-1995,0.07046
01-05-1995,0.06286
01-06-1995,0.06203
01-07-1995,0.06429
01-08-1995,0.06273
01-09-1995,0.06157
01-10-1995,0.06003
01-11-1995,0.05745
01-12-1995,0.05575
01-01-1996,0.05581
01-02-1996,0.06112
01-03-1996,0.06334
01-04-1996,0.06633
01-05-1996,0.06844
01-06-1996,0.06711
01-07-1996,0.0679
